Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Step10,Step11,Step12,Step13,Step14,Step15,Step16,Step17,Step18,Step19,Step20,Step21,Step22,Step23,Step24,Step25,Step26,Step27,Step28,Step29,Step30,Step31,Step32,Step33,Step34,Step35,Step36,Step37,Step38,Step39,Step40,Step41,Step42,Step43,Step44,Step45,Step46,Step47,Step48,Step49,Step50
28,24,19,14,18,23,22,17,12,8,13,9,4,3,2,1,6,5,10,15,20,21,27,33,37,32,31,25,26,36,30,35,41,47,42,43,44,48,49,46,45,40,39,38,34,29,16,11,7,0
8,13,17,16,21,20,25,30,27,32,31,26,15,10,11,12,7,2,3,4,9,14,19,18,23,29,34,38,39,43,44,49,48,47,42,37,36,46,41,40,45,35,33,28,24,22,5,6,1,0
22,23,24,29,34,38,37,42,47,46,36,41,40,35,30,25,26,31,32,27,21,20,15,16,11,6,1,3,8,7,13,18,19,14,9,4,17,12,2,10,5,0,43,49,48,44,39,33,28,45
39,44,49,48,43,37,38,33,32,27,28,29,34,24,23,22,17,16,15,20,21,26,31,35,30,36,40,41,42,47,46,45,25,7,6,13,18,12,11,10,5,1,2,8,3,4,9,14,19,0
39,38,37,43,40,41,46,45,35,30,25,20,21,26,31,32,33,29,34,28,24,12,17,18,23,22,16,11,5,0,6,1,2,7,8,13,9,14,19,27,47,42,44,49,48,36,15,10,4,3
40,35,36,31,15,5,10,11,12,7,0,1,2,8,9,4,3,17,16,22,21,26,25,20,30,27,33,39,34,29,24,28,32,37,38,43,49,48,47,46,45,41,42,44,19,14,13,18,23,6
7,8,14,9,4,3,2,1,12,11,15,20,25,26,27,23,33,34,29,28,22,17,18,13,21,16,10,5,6,0,31,30,35,40,45,46,47,42,37,38,43,32,36,41,48,49,44,39,24,19
46,45,40,42,41,38,43,39,44,48,47,36,31,30,25,26,22,21,16,17,18,13,8,9,4,3,2,1,6,7,12,11,10,15,20,23,28,34,33,32,37,35,27,24,29,19,14,0,5,49
38,39,44,43,48,49,37,32,34,24,19,18,11,16,15,10,12,7,2,3,9,4,8,14,13,17,33,29,28,23,22,21,26,25,27,31,36,41,47,42,46,40,45,35,30,20,5,6,1,0
38,39,34,33,32,28,24,29,23,18,19,9,8,7,1,16,12,17,22,27,26,25,20,21,31,36,37,42,41,40,30,35,43,47,45,46,48,49,44,14,13,4,3,2,6,11,5,10,15,0
25,26,27,33,32,38,43,37,42,46,47,48,39,44,49,36,31,30,35,40,41,45,17,18,23,28,22,21,20,15,16,11,13,14,9,3,4,8,7,1,6,5,0,2,12,10,19,24,29,34
1,0,5,6,7,8,13,14,9,3,4,2,12,18,19,24,23,17,22,27,26,25,21,16,11,10,15,20,32,31,36,41,40,45,46,47,42,43,48,49,44,39,34,33,37,38,29,28,30,35
14,8,9,4,3,2,1,7,6,12,17,22,23,24,19,28,27,32,38,37,42,41,46,47,48,49,44,34,39,33,31,26,16,21,20,25,30,36,35,40,45,43,10,5,0,11,15,18,13,29
29,33,38,39,44,43,42,40,41,46,45,36,32,27,28,23,22,18,13,14,19,24,21,17,16,15,10,5,6,8,9,4,3,2,1,0,7,11,12,25,20,26,31,30,35,37,47,48,49,34
29,28,33,34,39,44,38,43,49,48,47,42,36,41,46,45,40,35,30,31,26,25,20,15,5,6,7,8,12,11,10,16,21,22,17,2,3,4,9,14,13,19,18,23,24,27,32,37,1,0
12,10,20,15,16,17,18,19,14,13,8,7,4,3,2,1,0,5,6,11,28,34,38,37,36,41,42,47,46,45,35,30,25,26,32,43,44,48,49,39,33,27,24,21,22,23,29,40,31,9
1,7,3,8,9,4,12,11,6,16,21,22,23,28,33,32,36,31,30,41,46,45,40,42,48,49,44,43,37,38,39,34,29,24,19,18,13,14,17,20,25,26,27,15,10,5,0,2,47,35
6,7,11,12,13,14,9,4,16,15,20,21,22,17,18,19,24,29,33,35,30,31,36,37,32,34,39,38,27,26,25,28,23,5,0,1,2,3,8,46,47,48,43,44,49,42,41,40,45,10
10,11,17,18,13,12,7,6,3,4,9,8,14,19,24,33,34,29,28,23,22,21,25,20,15,16,2,1,0,5,31,26,27,32,37,42,46,47,48,44,39,38,40,36,41,45,43,49,35,30
4,8,12,11,6,7,13,1,0,5,10,15,16,21,17,22,20,25,30,35,36,37,42,47,48,49,44,43,39,33,28,29,34,38,32,27,31,26,40,45,46,41,23,18,19,24,14,9,3,2
19,23,18,17,16,21,22,26,27,30,35,40,45,46,47,37,32,28,29,38,43,44,39,34,33,31,36,42,41,48,49,24,14,8,3,1,5,0,10,15,20,25,12,11,7,6,13,9,4,2
