Cluster,Trees,Distance,Turning,Elevation
1,60,1199.015569016912,100.59398811262734,0.2627625323887326
2,75,1486.7889021713806,122.02222459970015,0.4418560679074126
3,65,1262.5160239073768,108.21382693012194,0.3394813354051571
4,68,1326.1561979658343,112.58507072911362,0.3509030893709859
5,67,1288.1162177897945,115.68806382036551,0.3397739661784378
6,63,1277.206861355975,102.51020828229441,0.3066347624372643
7,61,1239.5153015776125,96.58584330132659,0.37852303177968594
8,72,1482.6046473156296,113.38868897242956,0.4243851990259291
9,62,1211.2174961483709,103.9891056485542,0.30600259407159847
10,60,1117.251135125834,107.86141897512779,0.48285987027035304
11,69,1353.3438041809234,116.7447782197525,0.8421957575648946
12,59,1147.0483735331732,96.33097995215606,0.7888691036806232
13,79,1671.9908862459752,124.41776030689493,0.37895603008471923
14,64,1245.5202622169963,103.32128190835982,0.2568519115536958
15,67,1305.4051341653117,112.04445058335038,0.33749230954154186
16,67,1407.15696551165,105.86619473583335,0.35936205100494867
