Cluster,Route
1,"[1043, 959, 958, 1003, 1004, 1005, 1006, 960, 915, 916, 961, 1007, 1008, 962, 917, 871, 826, 825, 870, 824, 869, 823, 868, 822, 821, 866, 865, 910, 911, 956, 955, 1001, 1044, 1045, 1046, 1002, 957, 912, 867, 913, 914, 819, 820, 774, 775, 729, 728, 683, 684, 638, 639, 685, 686, 732, 687, 733, 779, 734, 780, 778, 777, 731, 776, 730, 773, 864, 682]"
2,"[675, 722, 721, 766, 812, 813, 767, 768, 769, 724, 723, 677, 676, 679, 680, 725, 771, 770, 815, 860, 814, 859, 905, 950, 904, 949, 995, 994, 1039, 948, 903, 857, 858, 951, 996, 997, 1040, 1041, 998, 999, 1042, 1000, 954, 953, 952, 906, 907, 861, 862, 816, 817, 818, 863, 909, 908, 772, 727, 726, 681, 678]"
3,"[269, 488, 444, 399, 355, 311, 356, 312, 357, 313, 358, 401, 402, 447, 403, 359, 315, 271, 314, 270, 268, 267, 310, 266, 309, 354, 397, 442, 485, 535, 584, 585, 630, 631, 632, 586, 537, 487, 536, 486, 443, 398, 445, 400, 446, 490, 489, 539, 588, 587, 538, 633, 634, 635, 589, 590, 591, 592, 637, 636, 542, 492, 491, 541, 540, 448, 404, 449, 450, 493, 543, 361, 360, 405, 316]"
4,"[4, 79, 40, 2, 39, 38, 1, 0, 37, 75, 76, 113, 152, 151, 190, 228, 272, 229, 191, 153, 115, 114, 77, 78, 116, 154, 155, 194, 156, 157, 158, 196, 235, 278, 277, 234, 233, 195, 276, 320, 319, 318, 362, 363, 273, 317, 274, 230, 192, 231, 193, 232, 275, 80, 118, 117, 82, 119, 81, 42, 41, 3, 5, 43, 6]"
5,"[279, 322, 323, 368, 411, 412, 369, 370, 413, 458, 414, 459, 502, 551, 552, 601, 646, 645, 690, 735, 689, 688, 643, 598, 549, 548, 597, 596, 546, 595, 641, 640, 594, 593, 544, 545, 495, 494, 451, 406, 407, 364, 365, 321, 366, 409, 454, 410, 455, 499, 500, 457, 501, 550, 600, 599, 644, 642, 547, 498, 497, 496, 452, 453, 408, 456, 367, 324]"
6,"[13, 166, 204, 243, 242, 241, 202, 240, 201, 163, 124, 123, 85, 86, 47, 10, 9, 46, 45, 8, 7, 44, 83, 120, 159, 197, 198, 237, 199, 238, 282, 325, 281, 280, 236, 160, 121, 122, 84, 161, 162, 200, 239, 283, 326, 371, 327, 328, 284, 285, 203, 164, 165, 127, 90, 51, 50, 88, 49, 48, 87, 125, 126, 89, 12, 11, 14]"
7,"[288, 286, 287, 330, 331, 375, 376, 419, 420, 377, 421, 422, 467, 468, 511, 561, 560, 559, 510, 509, 466, 465, 508, 464, 463, 462, 418, 417, 374, 329, 373, 416, 415, 460, 503, 553, 554, 555, 604, 650, 651, 606, 652, 697, 698, 607, 558, 557, 507, 506, 556, 605, 603, 504, 505, 461, 372, 333, 332, 379, 423, 378, 380]"
8,"[21, 57, 20, 58, 97, 135, 173, 212, 250, 294, 293, 336, 292, 248, 249, 210, 211, 172, 171, 132, 131, 94, 56, 95, 96, 133, 134, 55, 54, 93, 130, 92, 129, 168, 206, 245, 207, 246, 289, 290, 334, 291, 335, 247, 208, 209, 170, 169, 244, 205, 167, 128, 91, 52, 53, 16, 15, 18, 17, 19, 59]"
9,"[341, 386, 429, 385, 340, 339, 383, 338, 337, 382, 426, 471, 472, 427, 428, 384, 387, 342, 343, 388, 432, 433, 477, 521, 570, 520, 519, 568, 518, 567, 612, 657, 658, 613, 659, 704, 705, 660, 615, 569, 614, 566, 517, 516, 565, 610, 656, 611, 655, 609, 654, 653, 608, 562, 563, 513, 470, 469, 424, 381, 425, 512, 514, 515, 564, 473, 474, 475, 430, 431, 476, 389]"
10,"[29, 26, 27, 64, 102, 103, 140, 179, 178, 217, 216, 255, 298, 299, 256, 257, 218, 219, 180, 142, 141, 104, 105, 66, 28, 65, 63, 25, 62, 24, 23, 22, 60, 99, 137, 176, 138, 177, 139, 101, 100, 61, 98, 136, 175, 174, 213, 251, 295, 296, 253, 252, 214, 215, 254, 297, 344, 345, 301, 258, 300, 181]"
11,"[150, 187, 148, 147, 109, 110, 111, 72, 71, 70, 32, 31, 68, 67, 30, 106, 143, 183, 182, 220, 259, 302, 303, 260, 304, 305, 261, 262, 306, 307, 264, 225, 263, 224, 186, 185, 223, 222, 221, 184, 144, 145, 146, 108, 107, 69, 33, 34, 35, 36, 73, 74, 112, 149, 188, 189, 227, 265, 226, 308]"
12,"[720, 581, 627, 582, 533, 532, 482, 438, 437, 481, 480, 530, 579, 580, 625, 626, 671, 717, 716, 670, 715, 669, 668, 623, 624, 622, 527, 526, 576, 577, 528, 578, 529, 478, 479, 435, 434, 346, 390, 347, 391, 392, 393, 350, 349, 348, 436, 440, 483, 484, 441, 396, 353, 352, 351, 394, 395, 439, 534, 583, 629, 628, 674, 719, 718, 672, 673, 531, 714]"
13,"[1051, 1052, 1034, 1053, 1035, 1054, 1055, 1037, 1056, 1057, 1038, 993, 947, 902, 856, 811, 765, 764, 810, 809, 763, 762, 808, 854, 853, 898, 852, 897, 896, 851, 806, 807, 761, 760, 805, 850, 895, 940, 941, 987, 986, 1032, 1033, 988, 989, 943, 945, 991, 990, 1036, 992, 946, 901, 855, 900, 899, 944, 942, 1031]"
14,"[1025, 1028, 983, 984, 1029, 1030, 985, 939, 894, 849, 804, 759, 713, 667, 712, 758, 803, 848, 893, 892, 847, 801, 802, 756, 757, 711, 665, 620, 666, 621, 575, 525, 574, 524, 573, 523, 572, 522, 571, 616, 617, 663, 618, 619, 664, 710, 709, 755, 754, 800, 846, 891, 890, 845, 844, 799, 798, 752, 797, 751, 706, 707, 661, 662, 708, 753, 982, 981, 1026, 1027, 934, 935, 889, 843, 980, 936, 937, 938, 888]"
15,"[1017, 973, 1019, 1049, 1018, 1048, 972, 927, 926, 880, 835, 789, 744, 790, 745, 699, 700, 701, 702, 703, 749, 748, 794, 793, 792, 747, 746, 791, 836, 881, 882, 837, 838, 884, 883, 929, 928, 974, 1020, 1050, 1021, 1022, 976, 931, 932, 977, 978, 1023, 1024, 979, 933, 887, 841, 842, 796, 795, 750, 840, 886, 885, 839, 975, 930, 971]"
16,"[1009, 1011, 965, 920, 919, 964, 1010, 966, 1012, 967, 968, 969, 923, 924, 878, 877, 831, 786, 741, 742, 696, 695, 649, 648, 602, 647, 692, 691, 737, 782, 736, 781, 827, 828, 873, 874, 829, 830, 875, 876, 921, 922, 1013, 1014, 1016, 970, 1015, 1047, 925, 879, 834, 788, 743, 787, 832, 833, 784, 739, 785, 740, 694, 693, 738, 783, 872, 918, 963]"
