Map,Cluster,Algorithm,Distance,Elevation,Turning
Map1,1,ACO,1187.1088517457492,0.3661506522854267,62.48355576560382
Map1,1,GA,1193.5957456026717,0.35682983761112935,66.67384882112277
Map1,1,NSGAII,1196.5687141544165,0.3285108871399462,63.495532732996004
Map1,2,ACO,1210.5170788709977,0.3074684761017412,62.68996590044655
Map1,2,GA,1216.2435227392668,0.2948176973333922,66.01747867179532
Map1,2,NSGAII,1206.8978938172945,0.26660517243973875,66.7603219057851
Map1,3,ACO,1298.2791272228565,0.35831254650902655,69.75270953740667
Map1,3,GA,1305.3380161163211,0.3702031542236039,69.1581631121598
Map1,3,NSGAII,1295.9566811888292,0.33218525390532994,70.55734278992415
Map1,4,ACO,1342.2099078479162,0.4681939014095217,67.57070579655138
Map1,4,GA,1339.294480089578,0.44311900605450594,72.7197552091204
Map1,4,NSGAII,1342.9705249176682,0.4244489324383565,71.52260878111362
Map1,5,ACO,1157.0529705501517,0.3352610611107483,60.60081465633923
Map1,5,GA,1166.0534907103074,0.33015892615583087,64.18946370382474
Map1,5,NSGAII,1176.4084794086955,0.3164794491708779,61.020847794182295
Map1,6,ACO,1319.538210330401,0.31030619380135993,71.08636359047013
Map1,6,GA,1333.739434474052,0.31931701093636955,73.35490314827945
Map1,6,NSGAII,1333.5982363148237,0.31219101599952415,75.5997097306056
Map1,7,ACO,1087.1449573411633,0.2745647646795827,63.36303952360815
Map1,7,GA,1116.1698245540426,0.2822183444593573,62.39347882502765
Map1,7,NSGAII,1119.9837443267886,0.2391431023254277,59.08935438830006
Map1,8,ACO,1009.6019434903259,0.4712015803080831,51.2949282976277
Map1,8,GA,1028.138277231141,0.432190745300268,54.44329464027769
Map1,8,NSGAII,1020.5631722854062,0.41594877589432644,55.47481877388935
Map1,9,ACO,1182.109674072503,0.841779543887554,61.87865046506262
Map1,9,GA,1194.619498827849,0.8253667480969831,63.58034238891465
Map1,9,NSGAII,1197.6693939018946,0.8039552284302811,61.86045225469373
Map1,10,ACO,991.4899577468707,0.7563884833301383,49.922011778841046
Map1,10,GA,998.5740756889485,0.7651047369822006,50.68051084656107
Map1,10,NSGAII,1003.7683587837988,0.6565934741325148,54.27736538089404
Map1,11,ACO,1306.742578030796,0.2589039042525225,68.38581605557484
Map1,11,GA,1307.9681462427534,0.2737854985333278,73.54721904911976
Map1,11,NSGAII,1314.441574805837,0.2555566301660679,69.34665094331226
Map1,12,ACO,1281.884129865173,0.33654830499813426,67.56647106305897
Map1,12,GA,1295.5147328017254,0.3204502758713357,70.52550588459106
Map1,12,NSGAII,1286.0948069158933,0.3157890518158179,70.88829139619976
Map1,13,ACO,1415.0657186654312,0.4226018978836571,70.93899782628674
Map1,13,GA,1426.0625716326642,0.41010836707564485,77.66255659920566
Map1,13,NSGAII,1420.4027113707675,0.3780341263803145,81.0441142557262
Map1,14,ACO,1212.6346589223108,0.2965156778783608,60.28864603565198
Map1,14,GA,1222.398169339978,0.2959255953779322,65.23119123044788
Map1,14,NSGAII,1221.3056724547394,0.2819846029628923,65.11911887077105
Map1,15,ACO,1393.2152317490343,0.405015765788988,75.17897625408038
Map1,15,GA,1400.0661151597776,0.4097290513313411,78.79255157935908
Map1,15,NSGAII,1403.125906824732,0.3962978560466769,78.9348492372828
Map2,1,ACO,1319.2991602155412,0.6076006453064483,67.34318531029973
Map2,1,GA,1337.3019183878237,0.6124939823959181,71.93350013291713
Map2,1,NSGAII,1325.081128554312,0.5874564929989358,72.54800769179113
Map2,2,ACO,1024.8228565866043,0.5376448581230925,45.52573969539378
Map2,2,GA,1033.0677156573272,0.5240113027927784,50.52327068864783
Map2,2,NSGAII,1026.2695108928303,0.4892904302014543,48.28058961884564
Map2,3,ACO,953.3956967002889,0.4996756395278304,41.87059806612469
Map2,3,GA,959.2207747217395,0.4727925231511712,49.234013130222216
Map2,3,NSGAII,965.7038230675649,0.4555186306507274,43.77750448560793
Map2,4,ACO,1258.9085977584623,0.7343249509154959,59.88409510139358
Map2,4,GA,1267.5231112309048,0.7507621875411108,67.14792987372365
Map2,4,NSGAII,1264.516189373459,0.699161776918087,63.63341542111459
Map2,5,ACO,963.001367990965,0.6499156829155638,44.427322257880135
Map2,5,GA,961.5039682020112,0.6444664110314641,46.17207082811335
Map2,5,NSGAII,959.775133919609,0.6069523697129646,50.43755803543047
Map2,6,ACO,1092.9167905731238,0.568811610272278,54.710623121169895
Map2,6,GA,1099.706822110923,0.540194311107436,58.121190933505225
Map2,6,NSGAII,1104.0757268866473,0.547634203887769,56.44797367781481
Map2,7,ACO,1030.014565180624,0.4933799392151233,50.35502898801302
Map2,7,GA,1045.3455284660567,0.4965489068370669,53.07426837535812
Map2,7,NSGAII,1056.5208092647417,0.5009675930251138,50.59523408142655
Map2,8,ACO,869.3390118643674,0.6363874885174333,34.958476124950415
Map2,8,GA,882.2619147875488,0.637779880537002,39.56881326656877
Map2,8,NSGAII,898.8684206142264,0.5817771348799748,38.882851092403534
Map2,9,ACO,887.7501766642283,0.5543692168370942,42.858568895683035
Map2,9,GA,894.2146874370923,0.532877838330689,45.43288179800853
Map2,9,NSGAII,906.5974748258417,0.47409536640983097,42.853908896842945
Map2,10,ACO,1042.8465689908155,0.6413525765661461,49.996878173043534
Map2,10,GA,1042.446516938428,0.6080288356370896,54.12225308396222
Map2,10,NSGAII,1038.09492895012,0.5626829825639682,55.88622350831994
Map2,11,ACO,1182.462048998514,0.8616645130047591,59.91057884294497
Map2,11,GA,1199.829267008134,0.8632346697796773,65.6517241391033
Map2,11,NSGAII,1181.4475182038486,0.8160133991060473,64.58575415870578
Map2,12,ACO,979.6138724149307,0.5143688388885188,52.14043555843905
Map2,12,GA,992.5219012031099,0.5012116416515273,54.30931014881001
Map2,12,NSGAII,985.0086904328815,0.474558039967415,50.589508412538784
Map2,13,ACO,1157.1528553791547,0.649055561049568,58.89140421652904
Map2,13,GA,1180.529555089342,0.6413795954454674,63.802776237044256
Map2,13,NSGAII,1194.822669942821,0.5812597033542655,59.794319352804656
Map2,14,ACO,912.0120573539461,0.4113817400100629,40.023476044416846
Map2,14,GA,909.0992665631778,0.41070994788299836,45.61056515056745
Map2,14,NSGAII,917.0199740662931,0.3710709940540976,43.48944923300753
Map2,15,ACO,1049.342925611775,0.45914425689827176,46.026907079829826
Map2,15,GA,1056.126081939774,0.44898269184434875,51.889100902322845
Map2,15,NSGAII,1057.0659428998886,0.416167769116354,57.42687229328605
Map2,16,ACO,990.2702761559569,0.7559881520530591,46.42169089724611
Map2,16,GA,999.8427998272243,0.7544233495098982,49.778229337016455
Map2,16,NSGAII,991.9273838339835,0.6811998948751334,50.18094611329557
Map2,17,ACO,1065.5520587035908,0.6468407365249866,49.20592338024813
Map2,17,GA,1073.4119459042106,0.596983532961729,53.05108838156076
Map2,17,NSGAII,1069.3497641029428,0.5883782011638334,54.43728252773591
Map2,18,ACO,1281.825965419147,0.6656983698703869,63.88453202407201
Map2,18,GA,1282.6067691217875,0.6403134497600768,66.32139329959173
Map2,18,NSGAII,1293.795286897244,0.6124159241176539,71.0378761698546
Map2,19,ACO,1017.3942113832687,0.4854858858283091,45.7210846644645
Map2,19,GA,1023.7311818352337,0.4781210321262318,53.883291049855565
Map2,19,NSGAII,1020.3085470918331,0.45523229297389173,52.67428805468917
Map2,20,ACO,1377.0142567907828,0.5362194025488811,71.75224440355318
Map2,20,GA,1381.6950241634204,0.5250979637350899,76.49905704198167
Map2,20,NSGAII,1385.1380310220873,0.5081361429522996,75.60136036018706
