Map,Cluster,Algorithm,Distance,Elevation,Turning
Map1,1,ACO,1187.10885175,0.366150652285,62.4835557656
Map1,1,GA,1193.5957456,0.356829837611,66.6738488211
Map1,1,NSGAII,1196.56871415,0.32851088714,63.495532733
Map1,2,ACO,1210.51707887,0.307468476102,62.6899659004
Map1,2,GA,1216.24352274,0.294817697333,66.0174786718
Map1,2,NSGAII,1206.89789382,0.26660517244,66.7603219058
Map1,3,ACO,1298.27912722,0.358312546509,69.7527095374
Map1,3,GA,1305.33801612,0.370203154224,69.1581631122
Map1,3,NSGAII,1295.95668119,0.332185253905,70.5573427899
Map1,4,ACO,1342.20990785,0.46819390141,67.5707057966
Map1,4,GA,1339.29448009,0.443119006055,72.7197552091
Map1,4,NSGAII,1342.97052492,0.424448932438,71.5226087811
Map1,5,ACO,1157.05297055,0.335261061111,60.6008146563
Map1,5,GA,1166.05349071,0.330158926156,64.1894637038
Map1,5,NSGAII,1176.40847941,0.316479449171,61.0208477942
Map1,6,ACO,1319.53821033,0.310306193801,71.0863635905
Map1,6,GA,1333.73943447,0.319317010936,73.3549031483
Map1,6,NSGAII,1333.59823631,0.312191016,75.5997097306
Map1,7,ACO,1087.14495734,0.27456476468,63.3630395236
Map1,7,GA,1116.16982455,0.282218344459,62.393478825
Map1,7,NSGAII,1119.98374433,0.239143102325,59.0893543883
Map1,8,ACO,1009.60194349,0.471201580308,51.2949282976
Map1,8,GA,1028.13827723,0.4321907453,54.4432946403
Map1,8,NSGAII,1020.56317229,0.415948775894,55.4748187739
Map1,9,ACO,1182.10967407,0.841779543888,61.8786504651
Map1,9,GA,1194.61949883,0.825366748097,63.5803423889
Map1,9,NSGAII,1197.6693939,0.80395522843,61.8604522547
Map1,10,ACO,991.489957747,0.75638848333,49.9220117788
Map1,10,GA,998.574075689,0.765104736982,50.6805108466
Map1,10,NSGAII,1003.76835878,0.656593474133,54.2773653809
Map1,11,ACO,1306.74257803,0.258903904253,68.3858160556
Map1,11,GA,1307.96814624,0.273785498533,73.5472190491
Map1,11,NSGAII,1314.44157481,0.255556630166,69.3466509433
Map1,12,ACO,1281.88412987,0.336548304998,67.5664710631
Map1,12,GA,1295.5147328,0.320450275871,70.5255058846
Map1,12,NSGAII,1286.09480692,0.315789051816,70.8882913962
Map1,13,ACO,1415.06571867,0.422601897884,70.9389978263
