Scope,Metric,Algorithm,N_Blocks,Mean,SD_Across_Cluster_Means
Overall,Distance,ACO,35,1138.55800906,156.791800115
Overall,Distance,GA,35,1147.59322434,157.034356949
Overall,Distance,NSGAII,35,1148.03265218,155.269204292
Overall,Elevation,ACO,35,0.517672080546,0.164427449495
Overall,Elevation,GA,35,0.508849687126,0.16264478872
Overall,Elevation,NSGAII,35,0.478105511491,0.152365131844
Overall,Turning,ACO,35,56.8260127255,10.7077467899
Overall,Turning,GA,35,60.7170569002,10.5544887656
Overall,Turning,NSGAII,35,60.2329229263,10.9695999107
Map1,Distance,ACO,15,1226.3063331,128.32462004
Map1,Distance,GA,15,1236.25174008,125.273298552
Map1,Distance,NSGAII,15,1235.98372476,124.385147238
Map1,Elevation,ACO,15,0.413947516948,0.169785376719
Map1,Elevation,GA,15,0.408621666356,0.166557643348
Map1,Elevation,NSGAII,15,0.381581570617,0.154741152101
Map1,Turning,ACO,15,64.2001101698,7.0426894082
Map1,Turning,GA,15,67.2646842473,7.80918435084
Map1,Turning,NSGAII,15,66.9994252824,8.02977602822
Map2,Distance,ACO,20,1072.74676604,145.671746815
Map2,Distance,GA,20,1081.09933753,147.325546868
Map2,Distance,NSGAII,20,1082.06934774,145.101153668
Map2,Elevation,ACO,20,0.595465503244,0.110796157601
Map2,Elevation,GA,20,0.584020702703,0.114094691616
Map2,Elevation,NSGAII,20,0.550498467146,0.105011059445
Map2,Turning,ACO,20,51.2954396423,9.66954387987
Map2,Turning,GA,20,55.8063363899,9.75587274033
Map2,Turning,NSGAII,20,55.1580461593,10.225713502
