Scope,Metric,Group1,Group2,N_Blocks,Mean_Difference_Group2_minus_Group1,Percent_Difference_Relative_to_Group1,SE_Difference,CI95_Lower_Unadjusted,CI95_Upper_Unadjusted,t_value,DF,p_raw,p_Wilcoxon,Shapiro_Difference_p,p_Holm_All_Scopes,Significant,p_Wilcoxon_Holm_All_Scopes,CI_Family95_Lower_Bonferroni,CI_Family95_Upper_Bonferroni
Overall,Distance,ACO,GA,35,9.03521527482,0.793566529145,1.18807310915,6.62076022208,11.4496703276,7.60493205784,34,7.77285077612e-09,9.83709469438e-09,0.16563479282,1.78775567851e-07,True,2.36090272665e-07,5.02388023961,13.04655031
Overall,Distance,ACO,NSGAII,35,9.47464311791,0.832161650307,1.71101569054,5.99744087547,12.9518453604,5.53743789161,34,3.43932051939e-06,1.87021214515e-07,0.00739586408762,6.53470898684e-05,True,4.30148793384e-06,3.69767776756,15.2516084683
Overall,Distance,GA,NSGAII,35,0.439427843098,0.0382912545821,1.39369280723,-2.39289671206,3.27175239826,0.315297489389,34,0.754462929246,0.777117972786,0.865755850165,1,False,1,-4.26614855863,5.14500424483
Overall,Elevation,ACO,GA,35,-0.00882239341989,-1.70424362283,0.00263612652944,-0.0141796470852,-0.00346513975456,-3.34672608517,34,0.00200654753822,0.00338460295461,0.45055272302,0.0200654753822,True,0.0338460295461,-0.0177228445987,7.80577588885e-05
Overall,Elevation,ACO,NSGAII,35,-0.0395665690549,-7.64317229802,0.00397972861009,-0.0476543506713,-0.0314787874384,-9.94202693988,34,1.353559176e-11,4.07453626394e-10,0.727556470311,3.51925385761e-10,True,1.10012479126e-08,-0.0530034734687,-0.0261296646411
Overall,Elevation,GA,NSGAII,35,-0.030744175635,-6.04189732505,0.00386857526659,-0.0386060664794,-0.0228822847906,-7.94715716158,34,2.93975851944e-09,5.82076609135e-10,0.0299438862145,7.05542044665e-08,True,1.45519152284e-08,-0.0438057889176,-0.0176825623523
Overall,Turning,ACO,GA,35,3.89104417475,6.84729402633,0.348511850834,3.18278287946,4.59930547004,11.1647399233,34,6.45269939006e-13,4.07453626394e-10,0.867541620218,1.74222883532e-11,True,1.10012479126e-08,2.71435076534,5.06773758417
Overall,Turning,ACO,NSGAII,35,3.40691020083,5.99533565251,0.517681635281,2.35485453996,4.4589658617,6.58109148296,34,1.53060877246e-07,2.50875018537e-07,0.303619323759,3.21427842218e-06,True,5.51925040781e-06,1.65904261196,5.1547777897
Overall,Turning,GA,NSGAII,35,-0.484133973923,-0.797360739534,0.463590146942,-1.42626250462,0.457994556773,-1.04431463248,34,0.303708298934,0.279850576713,0.532858770981,1,False,1,-2.0493704767,1.08110252885
Map1,Distance,ACO,GA,15,9.94540698396,0.811005106599,1.92158516882,5.82401669417,14.0667972738,5.17562642828,14,0.000140724892865,0.00018310546875,0.276200516872,0.00211087339298,True,0.00238037109375,2.59270124085,17.2981127271
Map1,Distance,ACO,NSGAII,15,9.67739166799,0.789149611872,2.33645588648,4.66619218576,14.6885911502,4.14191071357,14,0.000997164559426,0.0006103515625,0.340007032861,0.0119659747131,True,0.0067138671875,0.737234919406,18.6175484166
Map1,Distance,GA,NSGAII,15,-0.268015315966,-0.0216796714841,1.66948969506,-3.84871458954,3.3126839576,-0.160537268819,14,0.874751279151,0.93408203125,0.0972533627599,1,False,1,-6.65610920223,6.12007857029
Map1,Elevation,ACO,GA,15,-0.00532585059211,-1.28660044427,0.00395441193755,-0.0138072206743,0.00315551949008,-1.34681228871,14,0.199439288369,0.187622070312,0.411145905936,1,False,1,-0.0204569141721,0.00980521298787
