Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Step10,Step11,Step12,Step13,Step14,Step15,Step16,Step17,Step18,Step19,Step20,Step21,Step22,Step23,Step24,Step25,Step26,Step27,Step28,Step29,Step30,Step31,Step32,Step33,Step34,Step35,Step36,Step37,Step38,Step39,Step40,Step41,Step42,Step43,Step44,Step45,Step46,Step47,Step48,Step49,Step50
19,29,24,34,39,23,28,22,27,21,26,20,7,11,2,1,8,3,4,0,9,12,13,17,14,18,6,10,5,15,16,25,32,31,35,37,40,45,41,46,30,36,33,43,49,44,42,47,38,48
19,29,24,34,39,23,28,22,27,21,26,20,7,11,2,1,8,3,4,0,9,12,13,17,14,18,6,10,5,15,16,25,32,31,35,37,40,45,41,46,30,36,33,43,49,44,42,47,38,48
19,29,24,34,39,23,28,22,27,21,5,20,7,35,2,1,8,3,4,0,9,37,13,17,14,18,6,10,33,15,16,25,32,31,11,12,40,45,48,46,30,36,26,43,49,44,47,42,38,41
19,29,24,34,39,23,28,22,27,21,26,20,7,11,2,1,8,3,4,0,9,12,13,17,14,18,6,10,5,15,16,25,32,31,35,37,40,45,41,46,30,36,33,43,49,44,42,47,38,48
43,29,41,34,39,23,28,27,22,21,17,33,12,11,2,1,8,3,4,0,9,46,13,30,14,18,6,47,5,15,16,25,32,31,35,37,40,45,20,7,26,36,24,19,49,44,42,10,38,48
19,29,24,34,48,23,28,22,42,39,26,20,7,14,45,1,8,3,4,0,9,47,13,32,37,18,6,43,5,44,16,25,17,31,35,11,40,2,41,46,30,36,33,10,49,15,27,12,38,21
34,39,23,28,22,27,21,26,20,7,11,2,1,8,3,4,0,9,12,13,17,14,18,6,10,5,15,16,25,32,31,35,37,40,45,41,46,30,36,33,43,49,44,42,47,38,48,19,29,24
19,29,24,34,39,23,28,22,27,21,26,20,7,11,2,1,8,3,4,0,9,12,13,17,14,18,6,10,5,15,16,25,32,31,35,37,40,45,41,46,30,36,33,43,49,44,42,47,38,48
19,29,24,34,39,23,28,22,27,21,26,20,7,11,2,1,8,3,4,0,9,12,13,17,14,18,6,10,5,15,16,25,32,31,35,37,40,45,41,46,30,36,33,43,49,44,42,47,38,48
19,29,24,34,39,23,28,22,27,21,26,20,7,11,2,1,8,3,4,0,9,12,13,17,14,18,6,10,5,15,16,25,32,31,35,37,40,45,41,46,30,36,33,43,49,44,42,47,38,48
