Base,X,Y,Latitude,Longitude
B0,65.83517947677076,-5.25302744018431,2.700830516159781,101.63409517878131
B1,234.45367758771917,-5.286100152310096,2.700830218729735,101.63561328775292
B2,318.2571790512051,-5.232353523628168,2.7008307020847795,101.63636778888326
B3,413.483243035079,-5.151445648827781,2.700831429706778,101.6372251298256
B4,505.51578482892955,-5.073251118281194,2.7008321329270863,101.63805371879384
B5,573.7868275873582,-5.015245308223496,2.7008326545858687,101.63866837782398
B6,765.1759473848072,-4.852633452866851,2.7008341169894177,101.64039149564964
B7,877.1328404076615,130.23672202883935,2.702049004750561,101.64139946788066
B8,877.0856060100082,315.5840009975394,2.703715872876309,101.64139904261911
B9,735.2689849882169,365.56330927115954,2.7041653475941025,101.64012223676977
B10,586.462376881022,368.4076231583516,2.70419092712343,101.63878249854808
B11,370.9133856505431,372.5276618913455,2.704227979521928,101.63684186415108
B12,150.34475810464983,376.7436467752677,2.7042658947848914,101.63485603687778
B13,-4.982744203001087,319.2133268241024,2.7037485121876164,101.63345758962892
B14,-5.112400227440625,124.02637634961378,2.7019931537700654,101.63345642230756
