Cluster,Trees,Distance,Elevation,Turning
1,66,1766.5050098439076,0.4877360271224962,69.32462541905504
2,67,1899.1726410749366,0.3958587448017834,56.58417839420011
3,72,1966.6944841803936,0.5485114267987221,71.38296196244173
4,75,2295.5819145277583,0.7875126703890167,78.81567977732618
5,64,1801.9008803855297,0.550104271527255,61.996406580380736
6,74,2205.8197003522096,0.4956931737576511,70.45180297000894
7,61,1832.6157556966014,0.43707182204898665,52.28632543403277
8,57,1580.1077709533183,0.6636892109214525,53.41030862420452
9,67,1966.24798746327,1.2091516575006924,59.0149441772689
10,56,1490.9503056975195,1.1607760952426958,47.49125101105457
11,73,2272.9992125181484,0.4605058865670699,66.71298107739406
12,72,2240.411628613452,0.5781932797419369,73.52660200244587
13,79,2664.4063080207707,0.7993114240930623,79.26617224776152
14,68,1920.1581645862118,0.42434315209570883,69.80891679019533
15,78,2480.445790781627,0.7417504357177886,82.07577834258886
