Map,Algorithm,Run,Cluster,Seed,Trees,StartTree,EndTree,ClusterTreeIDs,RawRoute,ImprovedRoute,RawDistance,RawTurning,RawElevation,ImprovedDistance,ImprovedTurning,ImprovedElevation,DistanceReductionPercent,RawScore,ImprovedScore,SolverSeconds,CleanupSeconds,CleanupCandidates,CleanupMoves,CleanupStop,SolverObjectiveSlots,CleanupCandidateLimit,CleanupMoveLimit,CleanupWeights,TurningDefinition
Map2,GA,3,1,20560918,74,2,65,"[0, 1, 2, 3, 4, 5, 30, 31, 32, 33, 34, 35, 59, 60, 61, 62, 63, 64, 65, 89, 90, 91, 92, 93, 94, 95, 118, 119, 120, 121, 122, 123, 124, 148, 149, 150, 151, 152, 153, 154, 177, 178, 179, 180, 181, 182, 183, 184, 207, 208, 209, 210, 211, 212, 213, 236, 237, 238, 239, 240, 241, 242, 266, 267, 268, 269, 270, 271, 295, 296, 297, 298, 299, 300]","[2, 30, 61, 212, 213, 124, 93, 35, 4, 31, 1, 0, 59, 118, 120, 91, 62, 122, 123, 152, 181, 210, 240, 297, 295, 296, 298, 300, 270, 211, 208, 267, 268, 299, 269, 239, 179, 149, 119, 150, 180, 238, 237, 207, 178, 148, 60, 63, 5, 95, 154, 184, 242, 271, 241, 94, 64, 34, 33, 3, 32, 90, 89, 177, 236, 266, 209, 151, 153, 183, 182, 121, 92, 65]","[2, 31, 61, 90, 60, 30, 1, 0, 59, 89, 118, 119, 149, 179, 208, 209, 238, 268, 267, 237, 207, 178, 148, 177, 236, 266, 295, 296, 297, 298, 299, 300, 270, 271, 242, 213, 184, 154, 124, 95, 94, 64, 34, 33, 63, 93, 92, 121, 122, 123, 153, 182, 183, 212, 241, 211, 240, 269, 239, 210, 181, 152, 151, 180, 150, 120, 91, 62, 32, 3, 4, 5, 35, 65]",2191.628985187486,74.19885208284333,0.9199796008032397,1337.3656645367666,74.40922050207381,0.5755122425681609,38.97846425760974,2935.457465217526,2082.608894042641,2.3744402000011178,0.06097450001107063,101816,33,local_optimum,40000,250000,100,"[1.0, 10.0, 2.0]",3D_forward_heading_change_rad
Map2,GA,3,2,20560919,58,216,220,"[214, 215, 216, 217, 218, 219, 220, 243, 244, 245, 246, 247, 248, 249, 250, 272, 273, 274, 275, 276, 277, 278, 279, 280, 301, 302, 303, 304, 305, 306, 307, 308, 309, 310, 331, 332, 333, 334, 335, 336, 337, 338, 339, 361, 362, 363, 364, 365, 366, 367, 368, 391, 392, 393, 394, 395, 396, 397]","[216, 244, 243, 272, 301, 302, 334, 394, 393, 392, 391, 333, 304, 275, 247, 277, 338, 367, 336, 335, 363, 361, 331, 217, 218, 219, 249, 279, 280, 310, 339, 368, 397, 396, 395, 364, 303, 332, 362, 365, 337, 308, 278, 246, 245, 215, 214, 273, 274, 276, 305, 306, 248, 307, 366, 309, 250, 220]","[216, 215, 214, 243, 244, 245, 246, 217, 218, 219, 249, 279, 309, 338, 367, 366, 365, 364, 335, 336, 337, 308, 278, 248, 247, 276, 277, 307, 306, 305, 334, 363, 362, 332, 303, 333, 304, 275, 274, 273, 272, 302, 301, 331, 361, 391, 392, 393, 394, 395, 396, 397, 368, 339, 310, 280, 250, 220]",1506.9957169640682,48.87849372262744,0.8274463927743874,1022.6109309993064,40.97716117515431,0.5687955826550741,32.142412915451644,1997.4355469758914,1433.5201339161597,1.9016162999905646,0.027849300007801503,42792,21,local_optimum,40000,250000,100,"[1.0, 10.0, 2.0]",3D_forward_heading_change_rad
Map2,GA,3,3,20560920,54,14,44,"[6, 7, 8, 9, 10, 11, 12, 13, 14, 36, 37, 38, 39, 40, 41, 42, 43, 44, 66, 67, 68, 69, 70, 71, 72, 73, 96, 97, 98, 99, 100, 101, 102, 125, 126, 127, 128, 129, 130, 131, 132, 155, 156, 157, 158, 159, 160, 161, 185, 186, 187, 188, 189, 190]","[14, 13, 43, 72, 100, 129, 159, 160, 189, 158, 70, 41, 42, 12, 11, 9, 38, 67, 66, 37, 8, 7, 6, 36, 97, 156, 186, 187, 188, 157, 126, 125, 155, 185, 127, 128, 130, 190, 161, 132, 131, 101, 99, 98, 69, 40, 10, 39, 68, 96, 71, 102, 73, 44]","[14, 43, 72, 71, 70, 40, 41, 42, 13, 12, 11, 10, 9, 38, 67, 37, 8, 7, 6, 36, 66, 96, 97, 68, 39, 69, 98, 99, 100, 130, 160, 159, 129, 128, 127, 126, 125, 155, 185, 186, 156, 157, 187, 158, 188, 189, 190, 161, 132, 131, 101, 102, 73, 44]",1256.1728055601639,53.4604519342731,0.6112446493098922,949.2078390230008,49.16276336663026,0.47277523435126767,24.43652379501071,1791.9998142015147,1441.781023158006,1.753859000004013,0.05505969999649096,72432,19,local_optimum,40000,250000,100,"[1.0, 10.0, 2.0]",3D_forward_heading_change_rad
Map2,GA,3,4,20560921,71,20,80,"[15, 16, 17, 18, 19, 20, 45, 46, 47, 48, 49, 50, 74, 75, 76, 77, 78, 79, 80, 103, 104, 105, 106, 107, 108, 109, 133, 134, 135, 136, 137, 138, 139, 162, 163, 164, 165, 166, 167, 168, 169, 191, 192, 193, 194, 195, 196, 197, 198, 221, 222, 223, 224, 225, 226, 227, 251, 252, 253, 254, 255, 256, 281, 282, 283, 284, 285, 311, 312, 313, 314]","[20, 48, 76, 46, 17, 18, 49, 137, 197, 169, 138, 135, 193, 163, 105, 106, 107, 136, 223, 222, 221, 251, 281, 311, 312, 283, 282, 252, 253, 224, 195, 166, 167, 196, 226, 255, 313, 314, 285, 284, 254, 225, 77, 47, 75, 104, 133, 162, 191, 192, 194, 165, 164, 134, 103, 74, 45, 15, 16, 78, 109, 79, 50, 19, 108, 168, 198, 227, 256, 139, 80]","[20, 19, 18, 17, 16, 15, 45, 74, 103, 134, 105, 106, 77, 47, 76, 46, 75, 104, 133, 162, 191, 192, 163, 193, 164, 135, 165, 194, 223, 222, 221, 251, 281, 311, 312, 313, 283, 282, 252, 253, 224, 195, 166, 196, 226, 225, 254, 255, 284, 314, 285, 256, 227, 198, 169, 139, 168, 197, 167, 138, 137, 136, 107, 78, 48, 49, 50, 79, 108, 109, 80]",1776.489687594072,69.07091498903284,0.9901486194725155,1267.3467792695965,69.29799294902843,0.745191043833854,28.660054256437352,2469.1791347233457,1961.8170908475483,2.2611984000104712,0.1299563000065973,163724,28,local_optimum,40000,250000,100,"[1.0, 10.0, 2.0]",3D_forward_heading_change_rad
Map2,GA,3,5,20560922,54,29,88,"[21, 22, 23, 24, 25, 26, 27, 28, 29, 51, 52, 53, 54, 55, 56, 57, 58, 81, 82, 83, 84, 85, 86, 87, 88, 110, 111, 112, 113, 114, 115, 116, 117, 140, 141, 142, 143, 144, 145, 146, 147, 170, 171, 172, 173, 174, 175, 176, 201, 202, 203, 204, 205, 206]","[29, 24, 23, 81, 110, 141, 140, 170, 201, 171, 111, 112, 25, 56, 57, 87, 146, 145, 144, 115, 58, 28, 27, 26, 55, 85, 86, 117, 147, 176, 175, 114, 113, 83, 53, 22, 21, 51, 52, 82, 142, 172, 173, 174, 206, 205, 204, 203, 202, 143, 84, 54, 116, 88]","[29, 58, 28, 27, 26, 56, 57, 87, 86, 85, 55, 25, 24, 23, 53, 54, 84, 114, 144, 115, 116, 146, 175, 145, 174, 173, 143, 113, 83, 82, 52, 22, 21, 51, 81, 110, 140, 170, 201, 171, 141, 111, 112, 142, 172, 202, 203, 204, 205, 206, 176, 147, 117, 88]",1361.0268501545588,47.6747974263133,0.9590266892212256,960.3258372809858,47.183667205938576,0.5761659464357436,29.44108066847243,1839.6928777961343,1433.314841233243,1.7723585000057938,0.021280200002365746,32846,18,local_optimum,40000,250000,100,"[1.0, 10.0, 2.0]",3D_forward_heading_change_rad
Map2,GA,3,6,20560923,61,636,640,"[632, 633, 634, 635, 636, 637, 638, 639, 640, 653, 654, 655, 656, 657, 658, 659, 660, 661, 673, 674, 675, 676, 677, 678, 679, 680, 681, 694, 695, 696, 697, 698, 699, 700, 701, 702, 714, 715, 716, 717, 718, 719, 720, 721, 722, 735, 736, 737, 738, 739, 740, 741, 742, 743, 755, 756, 757, 758, 759, 776, 777]","[636, 637, 678, 739, 737, 695, 698, 717, 757, 777, 776, 714, 674, 655, 635, 721, 743, 722, 657, 654, 653, 632, 633, 634, 656, 673, 694, 736, 756, 738, 759, 740, 719, 660, 639, 638, 659, 658, 697, 716, 715, 696, 675, 676, 677, 699, 718, 758, 755, 735, 741, 720, 702, 681, 661, 680, 701, 742, 700, 679, 640]","[636, 635, 634, 633, 632, 653, 654, 673, 694, 714, 736, 735, 755, 776, 777, 756, 757, 737, 716, 697, 698, 699, 718, 717, 738, 739, 758, 759, 740, 719, 720, 741, 742, 743, 722, 721, 702, 681, 661, 680, 701, 700, 679, 660, 659, 678, 677, 676, 675, 696, 715, 695, 674, 655, 656, 657, 658, 637, 638, 639, 640]",1836.0984435696603,55.29339363167144,0.9051420554339238,1075.6112946856003,59.779493229007215,0.5372061801061108,41.41864786974901,2390.8426639972427,1674.4806393358847,1.966820400004508,0.0372337000007974,59539,28,local_optimum,40000,250000,100,"[1.0, 10.0, 2.0]",3D_forward_heading_change_rad
Map2,GA,3,7,20560924,58,763,785,"[760, 761, 762, 763, 778, 779, 780, 781, 782, 783, 784, 785, 796, 797, 798, 799, 800, 801, 802, 803, 804, 816, 817, 818, 819, 820, 821, 822, 823, 824, 825, 836, 837, 838, 839, 840, 841, 842, 843, 844, 856, 857, 858, 859, 860, 861, 862, 863, 864, 883, 884, 885, 886, 909, 910, 934, 935, 959]","[763, 801, 800, 799, 821, 822, 802, 803, 824, 864, 861, 859, 797, 778, 796, 816, 839, 840, 841, 842, 823, 843, 862, 884, 909, 860, 820, 780, 781, 782, 783, 784, 804, 825, 863, 935, 959, 934, 858, 838, 819, 818, 837, 857, 883, 856, 836, 817, 798, 779, 760, 761, 762, 885, 910, 886, 844, 785]","[763, 762, 761, 760, 779, 798, 778, 797, 796, 816, 836, 856, 883, 857, 837, 817, 818, 819, 838, 858, 839, 820, 821, 822, 841, 840, 859, 860, 861, 842, 823, 843, 862, 884, 885, 909, 934, 959, 935, 910, 886, 864, 863, 844, 824, 803, 802, 801, 800, 799, 780, 781, 782, 783, 784, 804, 825, 785]",1591.064002394126,49.04121463681955,0.7182072037096319,1065.5821915939937,51.112542671043826,0.532196702352806,33.027069307672264,2082.9125631697407,1577.7720117091376,1.876698000007309,0.04959860000235494,64908,18,local_optimum,40000,250000,100,"[1.0, 10.0, 2.0]",3D_forward_heading_change_rad
Map2,GA,3,8,20560925,45,666,769,"[641, 642, 643, 644, 645, 662, 663, 664, 665, 666, 682, 683, 684, 685, 686, 703, 704, 705, 706, 707, 723, 724, 725, 726, 727, 728, 744, 745, 746, 747, 748, 764, 765, 766, 767, 768, 769, 786, 787, 788, 789, 805, 806, 807, 808]","[666, 686, 706, 726, 725, 745, 765, 805, 786, 787, 767, 746, 747, 768, 789, 808, 807, 806, 723, 703, 682, 662, 641, 642, 664, 665, 685, 727, 707, 645, 644, 643, 663, 704, 724, 764, 744, 683, 684, 705, 728, 748, 766, 788, 769]","[666, 645, 644, 643, 642, 641, 662, 682, 703, 723, 744, 764, 765, 745, 725, 726, 705, 684, 704, 724, 683, 663, 664, 665, 685, 706, 686, 707, 727, 728, 748, 747, 768, 788, 787, 767, 746, 766, 786, 805, 806, 807, 808, 789, 769]",1180.3730342209665,41.26046290031412,0.8509571690962296,874.5107794831425,45.24305508433805,0.630878515394631,25.91233837696824,1594.6795775623,1328.2030873573124,1.5301050999987638,0.01746119999734219,23881,14,local_optimum,40000,250000,100,"[1.0, 10.0, 2.0]",3D_forward_heading_change_rad
Map2,GA,3,9,20560926,50,795,794,"[646, 647, 648, 649, 650, 651, 652, 667, 668, 669, 670, 671, 672, 687, 688, 689, 690, 691, 692, 693, 708, 709, 710, 711, 712, 713, 729, 730, 731, 732, 733, 734, 749, 750, 751, 752, 753, 754, 770, 771, 772, 773, 774, 775, 790, 791, 792, 793, 794, 795]","[795, 688, 687, 708, 749, 770, 730, 710, 692, 672, 652, 651, 650, 649, 648, 669, 690, 731, 752, 711, 691, 671, 670, 647, 646, 667, 729, 771, 772, 793, 792, 791, 790, 750, 732, 733, 734, 693, 713, 712, 753, 773, 774, 775, 754, 689, 668, 709, 751, 794]","[795, 775, 754, 774, 753, 733, 734, 713, 712, 732, 711, 690, 669, 670, 671, 691, 692, 693, 672, 652, 651, 650, 649, 648, 647, 646, 667, 668, 689, 688, 687, 708, 729, 749, 770, 790, 791, 792, 793, 772, 771, 750, 751, 730, 709, 710, 731, 752, 773, 794]",1333.0118015479532,44.50936915872236,0.6833377742386908,879.461849990109,50.43887918006368,0.4923757951809833,34.024451323773846,1779.4721686836542,1384.835393381108,1.6370311999926344,0.03590269999403972,47384,18,local_optimum,40000,250000,100,"[1.0, 10.0, 2.0]",3D_forward_heading_change_rad
Map2,GA,3,10,20560927,58,1000,996,"[809, 810, 811, 812, 813, 814, 815, 829, 830, 831, 832, 833, 834, 835, 848, 849, 850, 851, 852, 853, 854, 868, 869, 870, 871, 872, 873, 874, 894, 895, 896, 897, 898, 899, 900, 919, 920, 921, 922, 923, 924, 945, 946, 947, 948, 949, 950, 969, 970, 971, 972, 973, 974, 996, 997, 998, 999, 1000]","[1000, 949, 923, 899, 874, 834, 811, 812, 833, 852, 831, 809, 829, 896, 921, 946, 970, 997, 998, 999, 873, 853, 835, 815, 950, 974, 973, 948, 922, 851, 832, 850, 895, 897, 898, 872, 871, 870, 868, 848, 830, 810, 849, 869, 894, 919, 945, 947, 972, 971, 924, 900, 854, 814, 813, 920, 969, 996]","[1000, 999, 998, 972, 947, 921, 946, 920, 895, 870, 850, 832, 851, 871, 896, 897, 922, 948, 973, 974, 950, 949, 924, 900, 854, 874, 899, 923, 898, 872, 873, 853, 835, 815, 814, 813, 834, 852, 833, 812, 811, 810, 809, 829, 868, 848, 830, 831, 849, 869, 894, 919, 945, 969, 970, 971, 997, 996]",1623.715462055834,49.7828486128528,0.8960983460185883,1048.9881082265294,50.50464916941195,0.6007318934223118,35.39581701720235,2123.336144876399,1555.2360637074935,1.879210500002955,0.05324730000575073,72608,23,local_optimum,40000,250000,100,"[1.0, 10.0, 2.0]",3D_forward_heading_change_rad
