Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Step10,Step11,Step12,Step13,Step14,Step15,Step16,Step17,Step18,Step19,Step20,Step21,Step22,Step23,Step24,Step25,Step26,Step27,Step28,Step29,Step30,Step31,Step32,Step33,Step34,Step35,Step36,Step37,Step38,Step39,Step40,Step41,Step42,Step43,Step44,Step45,Step46,Step47,Step48,Step49,Step50
25,11,30,26,35,29,45,38,41,39,48,23,46,16,21,15,44,19,24,9,14,4,13,2,8,1,3,6,7,42,5,10,0,34,17,33,28,49,37,43,12,40,31,36,18,47,22,32,20,27
25,11,30,26,35,29,45,38,41,39,48,23,46,16,21,15,44,19,24,9,14,4,13,2,8,1,3,6,7,42,5,10,0,34,17,33,28,49,37,43,12,40,31,36,18,47,22,32,20,27
21,22,34,27,32,31,30,36,26,12,18,17,19,24,4,13,9,14,2,8,7,10,5,1,3,6,11,0,20,16,15,25,40,35,45,48,47,43,42,39,38,49,44,46,41,33,37,28,23,29
22,28,23,29,27,21,30,36,26,32,31,12,18,17,19,24,4,13,9,14,2,8,1,3,10,5,11,6,7,0,20,16,15,25,40,35,45,48,47,43,42,39,34,38,49,44,46,41,37,33
46,38,41,23,37,33,22,34,30,27,26,32,31,12,18,17,19,16,21,11,28,24,29,4,13,9,14,2,8,1,3,6,7,5,10,0,20,15,36,25,40,35,45,48,47,43,42,39,49,44
22,28,17,19,23,29,24,27,32,31,16,21,12,18,4,13,9,14,2,8,1,7,3,5,6,10,11,0,20,15,30,26,36,25,40,35,45,48,47,43,42,39,34,38,49,44,46,41,33,37
19,23,29,24,27,32,16,21,12,18,4,13,9,14,2,8,1,7,3,5,6,10,11,0,20,15,30,26,25,40,35,45,48,47,43,42,39,34,38,49,44,46,31,36,41,33,37,22,28,17
22,28,17,19,23,29,24,27,32,16,21,12,18,4,13,9,14,2,8,1,7,3,5,6,10,11,0,20,15,30,26,25,35,45,48,47,43,42,39,34,38,49,44,46,41,33,37,40,31,36
16,15,19,45,48,47,43,42,39,34,49,44,46,38,41,23,37,21,33,22,28,24,29,4,13,9,14,2,8,1,3,6,7,5,10,0,17,12,40,31,36,18,32,20,27,25,11,30,26,35
23,22,19,24,17,28,30,27,26,32,31,46,16,21,12,18,4,13,9,14,2,8,1,10,5,11,0,3,6,7,20,15,36,25,40,35,45,48,47,43,42,39,44,34,49,38,41,33,37,29
33,23,22,34,30,27,26,32,31,12,18,17,19,16,21,11,28,24,29,4,13,9,14,2,8,1,3,6,7,5,10,0,20,15,36,25,40,35,45,48,47,43,42,39,49,44,46,38,41,37
25,11,30,26,35,29,45,38,41,39,42,48,16,21,15,44,19,24,4,13,9,14,2,8,1,3,6,7,5,10,0,17,12,40,31,36,18,34,23,33,28,49,37,43,46,47,22,32,20,27
11,30,26,35,29,45,38,41,39,42,48,46,16,21,15,44,19,24,9,14,4,13,2,8,1,3,6,7,5,10,0,17,12,40,31,36,34,23,33,28,49,37,43,47,22,32,18,20,27,25
37,23,22,34,30,27,26,32,31,12,18,17,19,16,21,11,28,24,29,4,13,9,14,2,8,1,3,6,7,5,10,0,20,15,36,25,40,35,45,48,47,43,42,39,49,44,46,38,41,33
30,26,35,29,45,38,41,48,46,16,21,15,44,19,24,4,13,9,14,2,8,1,3,6,7,5,10,0,17,12,40,31,36,18,34,23,33,28,49,37,43,42,39,47,22,32,20,27,25,11
22,28,23,29,27,21,30,36,26,32,31,12,18,17,19,24,4,13,9,14,2,8,1,7,3,10,5,6,11,0,20,16,15,25,40,35,45,48,47,43,42,39,34,38,49,44,46,41,33,37
25,11,30,26,35,29,45,38,41,39,42,48,46,16,21,15,44,19,24,9,14,4,13,2,8,1,3,6,7,5,10,0,17,12,40,34,23,33,28,49,37,43,31,36,18,47,22,32,20,27
29,23,19,24,17,32,31,16,21,12,18,4,13,9,14,2,8,1,7,3,5,6,10,11,0,20,15,30,26,36,25,40,35,45,48,47,43,42,39,34,38,49,44,46,41,33,37,22,28,27
25,11,30,26,35,29,45,38,41,39,42,48,46,16,21,15,44,19,24,9,14,4,13,2,8,1,3,6,7,5,10,0,17,12,40,34,23,33,28,49,37,43,31,36,18,47,22,32,20,27
29,23,19,24,17,28,22,27,26,32,31,46,16,21,12,18,4,13,9,14,2,8,1,10,5,11,0,3,6,7,20,15,36,25,40,35,45,48,47,43,42,39,44,34,49,38,41,33,30,37
18,11,30,26,35,29,45,38,41,39,42,48,23,46,16,21,15,44,19,24,4,13,9,14,2,8,1,3,6,7,5,10,0,34,17,33,28,49,37,43,47,22,32,12,40,31,36,20,27,25
30,27,26,32,31,12,18,17,19,16,21,11,24,29,4,13,9,14,2,8,1,3,6,7,5,10,0,20,15,36,25,40,35,45,48,47,43,42,39,34,38,49,44,46,41,33,37,22,28,23
11,30,26,35,29,45,38,41,39,46,42,48,16,21,15,44,19,24,9,14,4,13,2,8,1,3,6,7,5,10,0,17,12,40,31,36,34,23,33,28,49,37,43,47,22,32,18,20,27,25
42,11,30,26,35,29,45,38,41,39,48,23,46,16,21,15,44,19,24,9,14,4,13,2,8,1,3,6,7,5,10,0,17,12,40,34,33,28,49,37,43,31,36,18,47,22,32,20,27,25
11,30,26,35,29,45,38,41,39,46,42,48,16,21,15,44,19,24,9,14,4,13,2,8,1,3,6,7,5,10,0,17,12,40,31,36,18,34,23,33,28,49,37,43,47,22,32,20,27,25
22,17,19,23,29,24,30,27,26,32,31,46,16,21,12,18,4,13,9,14,2,8,1,7,3,10,5,6,11,0,20,15,36,25,40,35,45,48,47,43,42,39,44,34,49,38,41,33,28,37
22,28,17,19,23,29,24,27,32,31,16,21,12,18,4,13,9,14,2,8,1,7,3,5,6,10,11,0,20,15,30,26,36,25,40,35,45,48,47,43,42,39,34,38,49,44,46,41,33,37
22,17,19,23,29,24,27,26,32,31,46,16,21,12,18,4,13,9,14,2,8,1,7,3,5,6,10,11,0,20,15,30,36,25,40,35,45,48,47,43,42,39,44,34,49,38,41,33,28,37
45,48,47,43,42,29,39,34,49,44,46,38,41,23,37,21,33,22,19,24,4,13,9,14,2,8,1,3,6,7,5,10,0,17,12,32,28,20,27,25,11,40,31,36,18,30,26,35,16,15
23,22,34,27,32,31,12,18,17,19,16,21,28,24,29,4,13,9,14,2,8,1,7,3,5,6,10,11,0,20,15,30,26,36,25,40,35,45,48,47,43,42,39,49,44,46,38,41,37,33
