Cluster,StartBase,EndBase,StartTree,EndTree,StartAccess_m,EndAccess_m
1,B0,B1,1040,675,16.546093804872015,9.480040748428792
2,B1,B2,630,269,16.175299643719402,51.10877087539703
3,B2,B3,151,4,52.02221797128531,9.207468406532858
4,B3,B4,279,324,120.10222359940646,129.90905450851207
5,B4,B5,8,13,7.520404853199948,7.692337734886533
6,B5,B6,286,288,115.04870445430872,115.9895732445781
7,B6,B7,17,21,8.639778956928577,7.289955079515357
8,B7,B8,337,341,130.23588440588895,130.3841920574207
9,B8,B9,25,29,5.015706500027879,58.310394847206204
10,B9,B10,67,150,62.28514913381245,13.402245810650394
11,B10,B11,353,720,65.87862852028452,68.61413950588535
12,B11,B12,902,1051,9.088987000621444,19.37012879543136
13,B12,B13,1030,1025,32.97512096040899,26.701386574523575
14,B13,B14,1024,1017,20.055262233130904,53.98877456348643
15,B14,B15,1016,1009,44.682140726928964,25.74311949295147
16,B15,B0,1008,1043,20.39823518268942,69.79105900042397
