Map,Cluster,Algorithm,Run,Distance,Elevation,Turning
Map1,1,NSGAII,1,1948.352092387333,0.510921575623188,96.20146153773395
Map1,2,NSGAII,1,1897.87765525085,0.2926205431196873,75.49809103888622
Map1,3,NSGAII,1,2121.556944458069,0.43146978358275945,76.1816598317987
Map1,4,NSGAII,1,2473.741383861527,0.6788997550154043,107.0840391612601
Map1,5,NSGAII,1,1952.4201209378582,0.4708064721645062,77.95899427002497
Map1,6,NSGAII,1,2480.0675428498953,0.4274772688798265,97.56728630117519
Map1,7,NSGAII,1,1848.1887108440797,0.3066920420983461,63.59206254573091
Map1,8,NSGAII,1,1489.4907524664447,0.40357849774658483,79.39279338747072
Map1,9,NSGAII,1,1897.1158203950522,1.0786579131975547,91.0564493417359
Map1,10,NSGAII,1,1507.2573462865073,0.7906718044099179,79.57317339297852
Map1,11,NSGAII,1,2461.520088927411,0.41875688611944994,88.78706821785477
Map1,12,NSGAII,1,2430.916065735819,0.45484583268691203,96.34942739937229
Map1,13,NSGAII,1,2846.133829177594,0.7267652401212281,91.33623617895331
Map1,14,NSGAII,1,2188.718340652386,0.37455974087746213,88.0024552339745
Map1,15,NSGAII,1,2616.6957823340886,0.5551125240755237,83.70712659208074
Map1,1,GA,1,1903.065725511802,0.6269952243045385,60.400963046136226
Map1,2,GA,1,1957.0717147795126,0.4930596887470191,55.87090700171242
Map1,3,GA,1,2180.805137673516,0.5470565110594059,69.16537901592756
Map1,4,GA,1,2374.23885298891,0.6975974457760614,70.45534807588719
Map1,5,GA,1,1859.0850763510741,0.5482892966509727,53.610158227948055
Map1,6,GA,1,2145.564041767589,0.5957287438720087,69.28205783781904
Map1,7,GA,1,1739.1054473231868,0.441129339508775,54.364435979921936
Map1,8,GA,1,1555.7123127364475,0.6460029899799249,49.84256632745849
Map1,9,GA,1,2118.4946478116362,1.4339873405890575,59.84347685545378
Map1,10,GA,1,1731.3483069880353,1.1951233199677134,54.81337503063656
Map1,11,GA,1,2296.6359705103678,0.41819971203890205,61.081008553674955
Map1,12,GA,1,2148.8030663428062,0.5029448488125663,64.20093258746901
Map1,13,GA,1,2671.1626095034326,0.777951010306996,73.00905771008468
Map1,14,GA,1,2062.1831454174,0.4532993276682262,59.22385334357192
Map1,15,GA,1,2552.81209811586,0.8150517615724642,74.50470878260614
Map1,1,ACO,1,1465.7362015666465,0.4404226852871549,96.0548811723776
Map1,2,ACO,1,1369.7210278929394,0.3343331195849206,102.32763517155345
Map1,3,ACO,1,1462.845063433849,0.4036335512138578,118.1838076291685
Map1,4,ACO,1,1487.52781928109,0.46323735954396383,124.59502662372107
Map1,5,ACO,1,1368.1464755173572,0.3364347603585909,93.23981599154396
Map1,6,ACO,1,1520.5593651709014,0.34904702409612653,120.10216518949693
Map1,7,ACO,1,1174.8875086376136,0.2735240145030122,94.85812719881962
Map1,8,ACO,1,1088.9163263636765,0.5058836675389191,92.15607140928996
Map1,9,ACO,1,1381.5072982503416,0.9721905891966518,102.0294894521716
Map1,10,ACO,1,1077.138756316379,0.6561991381038794,85.34822339540952
Map1,11,ACO,1,1499.372743443387,0.30106991714556486,111.29762624838071
Map1,12,ACO,1,1464.0060720917286,0.36961821379782656,113.034169488104
Map1,13,ACO,1,1601.78919160349,0.4774810730536245,131.87112095113025
Map1,14,ACO,1,1358.9633173243951,0.32815608590983203,112.97283677455879
Map1,15,ACO,1,1638.6599723636168,0.46113622161976586,124.92528397896187
Map1,1,NSGAII,2,2104.514190231105,0.479589244912086,94.55631625207276
Map1,2,NSGAII,2,2126.860694636008,0.3105493039344598,83.95766372632599
Map1,3,NSGAII,2,2337.8319320205073,0.4702115610646125,75.15789884247465
Map1,4,NSGAII,2,2599.623739890517,0.5661853762006039,88.855265987305
Map1,5,NSGAII,2,1914.9478258416295,0.3726669764715016,69.20952014391874
Map1,6,NSGAII,2,2219.3806394495496,0.32799633076889734,88.04283209373413
Map1,7,NSGAII,2,1948.7558157320461,0.42247732022581097,71.82520616453075
Map1,8,NSGAII,2,1406.2183783198082,0.3817771711326845,82.80389911750154
Map1,9,NSGAII,2,2186.40850527984,1.2468044124500484,72.96284907789318
Map1,10,NSGAII,2,1462.245734640674,0.6218343725617714,73.04832676095982
Map1,11,NSGAII,2,2476.4219006422686,0.41455672522952014,92.4716270908875
Map1,12,NSGAII,2,2203.074603782315,0.44409305446202474,101.01391106704915
Map1,13,NSGAII,2,2610.0790806831133,0.5824115731762092,92.338162421187
Map1,14,NSGAII,2,2064.7738064255796,0.3295487713911385,83.38526085980011
Map1,15,NSGAII,2,2470.807173617772,0.5729961750120562,89.98239290389598
Map1,1,NSGAII,3,1862.0988460851654,0.38700377564215493,91.33657403751826
Map1,2,NSGAII,3,2168.418125957376,0.3483383354631133,75.6870808276937
Map1,3,NSGAII,3,2357.0661197969484,0.4412855133881415,91.17851315150025
Map1,4,NSGAII,3,2525.723849171323,0.6912265324337383,84.70787698752765
Map1,5,NSGAII,3,2082.0786538882303,0.4636559220586154,83.74612192081018
Map1,6,NSGAII,3,2409.245320911421,0.4069621733682496,90.13683606872411
Map1,7,NSGAII,3,1631.2036119127174,0.3118410587818037,95.98126088155121
Map1,8,NSGAII,3,1663.5659673950838,0.6233315189965669,72.31979612871721
Map1,9,NSGAII,3,2373.038275188918,1.338062408921319,87.06177265701403
Map1,10,NSGAII,3,1512.8248943484823,0.746786734421395,77.34581723999771
Map1,11,NSGAII,3,2609.797886338734,0.3957213425232595,79.51216166027082
Map1,12,NSGAII,3,2147.8476272318976,0.4327083270599541,96.09378549282731
Map1,13,NSGAII,3,2984.565312171061,0.5702215400425494,83.5596337255283
Map1,14,NSGAII,3,2050.8226633478052,0.3740201128971812,77.97938468567665
Map1,15,NSGAII,3,2645.6539866241046,0.5163375291437493,79.18984273743214
Map1,1,NSGAII,4,1708.0255992604036,0.3579617452014343,95.07151236698735
Map1,2,NSGAII,4,2193.268290698638,0.42476930288331793,98.84897527664133
Map1,3,NSGAII,4,2213.3712669620722,0.43120360568226346,94.33908810853583
Map1,4,NSGAII,4,2332.7434925615776,0.5552642897296316,97.48235191842748
Map1,5,NSGAII,4,2165.419136543992,0.4198970203148331,86.38508840803553
Map1,6,NSGAII,4,2427.987023062924,0.4361150395234006,84.77683354425061
Map1,7,NSGAII,4,1699.2018533522448,0.2705096123232895,74.2875897532632
Map1,8,NSGAII,4,1535.7907700086787,0.48634165224785697,69.4759178492447
Map1,9,NSGAII,4,2223.5280399748763,1.1367162992270412,88.2487695076372
Map1,10,NSGAII,4,1512.5876775543795,0.7149199611409678,64.54553767402939
Map1,11,NSGAII,4,2476.5447600103357,0.36136736084774057,93.06820430935925
Map1,12,NSGAII,4,2096.2808390555074,0.378672340581657,90.9606562223112
Map1,13,NSGAII,4,2631.6848657519467,0.5823175531609373,119.26145711722145
Map1,14,NSGAII,4,2022.955215909489,0.3070277513995521,94.41554416792053
