Algorithm,ID,Distance,TurningPenalty,Elevation
ACO_3D_v1,20260423_130912,2319300.934,2515.636966,406.6847103
ACO_3D_v1,20260424_054828,2304972.779,2481.211875,406.3131819
ACO_3D_v1,20260424_062040,2313163.972,2479.654177,406.9059787
ACO_3D_v1,20260424_065234,2321574.96,2558.926075,433.369546
ACO_3D_v1,20260424_072411,2303091.989,2486.49371,406.640674
ACO_3D_v1,20260424_075554,2291334.011,2476.424263,406.4373603
ACO_3D_v1,20260424_212823,2296286.051,2504.521712,496.0133901
ACO_3D_v1,20260424_234831,2311255.338,2526.158128,496.4505405
ACO_3D_v1,20260425_021102,2327512.043,2497.473131,528.5882315
ACO_3D_v1,20260425_024156,2323277.705,2493.069338,496.4749609
ACO_3D_v1,20260425_031230,2325459.117,2504.010985,496.524934
GA_3D_v1,20260423_122239,2998472.578,1559.249645,433.3560056
GA_3D_v1,20260424_022803,2990689.4,1585.335157,433.5463833
GA_3D_v1,20260424_030829,3003470.531,1606.414995,433.6487054
GA_3D_v1,20260424_034833,3060341.105,1535.693893,434.1664817
GA_3D_v1,20260424_042816,3079819.402,1580.400307,434.2002876
GA_3D_v1,20260424_050827,2986043.366,1632.699036,433.2985048
GA_3D_v1,20260424_151058,3019747.27,1606.560613,529.5433662
GA_3D_v1,20260424_184054,2972864.844,1593.472527,529.9729834
GA_3D_v1,20260424_192431,3080297.58,1580.833695,530.3585434
GA_3D_v1,20260424_200517,2998945.568,1571.695492,529.843583
GA_3D_v1,20260424_204510,3031253.638,1589.946127,529.9286257
NSGAII_3D_v1,20260423_113606,3516997.421,918.6758309,429.4902374
NSGAII_3D_v1,20260423_202258,3719129.93,884.1664167,403.6492637
NSGAII_3D_v1,20260423_231804,3570847.215,897.1431177,429.4571659
NSGAII_3D_v1,20260423_235546,3613721.86,911.7444531,403.9116617
NSGAII_3D_v1,20260424_003332,3584813.152,907.8559961,430.2667292
NSGAII_3D_v1,20260424_011137,3560186.649,878.5698492,430.6153197
NSGAII_3D_v1,20260424_014948,3611819.822,875.8138514,430.4014987
NSGAII_3D_v1,20260424_115745,3648602.897,895.6578883,403.8632453
NSGAII_3D_v1,20260424_123506,3588649.511,874.5996619,429.8864509
NSGAII_3D_v1,20260424_131255,3574646.316,893.3691153,403.9783074
NSGAII_3D_v1,20260424_135140,3542464.066,886.9997012,430.0510578
NSGAII_3D_v1,20260424_142933,3588962.762,903.4345991,404.1974528
NSGAII_3D_v2,20260425_230034,2985186.93451203,871.1303668482083,559.2083259706632
NSGAII_3D_v2,20260426_000832,3024970.5896367,834.6147940622939,591.4033472491649
NSGAII_3D_v2,20260426_153758,2924979.10229513,862.6854130970021,688.7818375487531
NSGAII_3D_v3,20260804_124137,2629408.5573195107,1070.2675771649783,523.5515982693246
NSGAII_3D_v3,20260807_130923,3094305.0565703707,746.7258363608432,523.5347617764979
NSGAII_3D_v4,20260807_170955,3631229.192796508,870.2437464898676,526.3632544013484
NSGAII_3D_v5,20260818_191320,30527.17329975736,883.2418591723456,5.676065579555059
NSGAII_3D_v5,20260818_200612,30934.891193841566,862.8655153919484,6.052601483834339
ACO_3D_v2,20260818_212042_004590,21049.331267782574,1757.2408161599865,6.972255253034421
ACO_3D_v2,20260818_212728_742921,20992.851395962192,1757.5832330320645,6.693173475902912
ACO_3D_v2,20260818_213230_133924,21020.85377822875,1742.1638850780082,6.59690961226598
ACO_3D_v2,20260818_213709_130229,21168.242477233856,1721.9406673925687,6.771952756814441
ACO_3D_v2,20260818_215143_690393,21205.923061510992,1728.2949156707166,6.706022864241936
NSGAII_3D_v5,20260818_215643,30529.130697602694,869.0135272587709,5.527622950493333
GA_3D_v2,20260818_222954,22756.42426475759,1484.0694028183964,6.929427942306313
